"Fecha (UTC)","Id. de solicitud","Agente de usuario","Id. de correlación","Id. de usuario","Usuario","Nombre de usuario","Tipo de usuario","Tipo de acceso entre inquilinos","Tipo de token entrante","Protocolo de autenticación","Identificador de token único","Método de transferencia original","Tipo de credencial de cliente","Protección de token: sesión de inicio de sesión","Aplicación","Id. de aplicación ","Recurso","Id. de recurso ","Id. de inquilino de recursos","Id. de inquilino inicial","Nombre del inquilino inicial","Dirección IP","Ubicación","Estado","Código de error de inicio de sesión","Motivo del error","Aplicación cliente","Id. de dispositivo","Explorador","Sistema operativo","Conforme","Administrada","Tipo de unión","Resultado de la autenticación multifactor","Método de autenticación de la autenticación multifactor","Detalle de autenticación de la autenticación multifactor","Requisito de autenticación","Identificador de inicio de sesión","Dirección IP (vista por recurso)","Mediante Acceso global seguro","Dirección IP de Acceso global seguro","Número de sistema autónomo","Marcado para revisión","Tipo de emisor de tokens","Tipo de token entrante","Nombre del emisor de tokens","Latencia","Acceso condicional","Tipo de identidad administrada","Id. del recurso asociado","Id. de token federado","Emisor de token federado"
"2024-05-26T23:45:29Z","4622b3c8-efa4-4516-8466-645452ddcf00","","a0ce5f90-fc56-451d-9632-396b8fc62561","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","yLMiRqTvFkWEZmRUUt3PAA","none","none","unbound","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","223.18.30.174","Aberdeen, Hong Kong, HK","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","","Windows","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","9304","false","Microsoft Entra ID","Ninguno","","337","No aplicada","Ninguno","","",""
"2024-05-26T13:23:55Z","2ebce0f0-8a89-4eb4-85c2-48d41103db00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","d92e4e72-f647-4eba-9bd1-5b2790f34ad8","44450da8-5f10-4b60-8dd1-448313469fe2","Joni Sherman","jonis@2nvpmn.onmicrosoft.com","member","none","none","none","8OC8LomKtE6FwkjUEQPbAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","104.234.140.30","Tokyo, Tokyo, JP","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","jonis@2nvpmn.onmicrosoft.com","","false","","396356","false","Microsoft Entra ID","Ninguno","","190","No aplicada","Ninguno","","",""
"2024-05-26T13:12:12Z","7dadd40d-b0db-4d68-9beb-9ab1c8b7df00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","0bf8de8f-1f22-4cb7-b2ff-b661e098e84d","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","DdStfduwaE2b65qxyLffAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","104.234.140.10","Tokyo, Tokyo, JP","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","396356","false","Microsoft Entra ID","Ninguno","","139","No aplicada","Ninguno","","",""
"2024-05-26T10:28:05Z","3da74e4b-bc24-4ada-86ae-1e8956fd5d00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0","68a83df3-be3a-4d35-b8ff-082cb220a4e3","44450da8-5f10-4b60-8dd1-448313469fe2","Joni Sherman","jonis@2nvpmn.onmicrosoft.com","member","none","none","none","S06nPSS82kqGrh6JVv1dAA","none","none","unbound","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","194.105.14.42","Constanta, Constanta, RO","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 125.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","jonis@2nvpmn.onmicrosoft.com","","false","","9009","false","Microsoft Entra ID","Ninguno","","129","No aplicada","Ninguno","","",""
"2024-05-26T10:14:52Z","b049f3ff-6583-4074-8902-6982c9b1f300","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0","614678a5-2f4f-45c8-aa94-c8b8b425b846","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","__NJsINldECJAmmCybHzAA","none","none","unbound","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","OfficeHome","4765445b-32c6-49b0-83e6-1d93765276ca","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","194.105.14.168","Constanta, Constanta, RO","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 125.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","9009","false","Microsoft Entra ID","Ninguno","","265","No aplicada","Ninguno","","",""
"2024-05-25T16:06:14Z","1b71d222-6cee-4dae-84bf-2b49e7097200","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","36791cd2-e2f0-4200-940c-ecc09098d88e","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","ItJxG-5srk2EvytJ5wlyAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","52.172.156.250","Pune, Maharashtra, IN","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","8075","false","Microsoft Entra ID","Ninguno","","149","No aplicada","Ninguno","","",""
"2024-05-25T16:06:14Z","3a355e92-9530-4588-93af-e5130983de00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","acf04490-3378-4d30-b9bf-1d1cbeb05a64","44450da8-5f10-4b60-8dd1-448313469fe2","Joni Sherman","jonis@2nvpmn.onmicrosoft.com","member","none","none","none","kl41OjCViEWTr-UTCYPeAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","52.172.156.250","Pune, Maharashtra, IN","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","jonis@2nvpmn.onmicrosoft.com","","false","","8075","false","Microsoft Entra ID","Ninguno","","155","No aplicada","Ninguno","","",""
"2024-05-25T14:40:04Z","b0a342a1-70f7-4ab2-8e73-a3255b0ac800","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","abe3f235-435d-4e02-938f-eb123efcf03f","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","oUKjsPdwskqOc6MlWwrIAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","104.234.140.23","Tokyo, Tokyo, JP","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","396356","false","Microsoft Entra ID","Ninguno","","311","No aplicada","Ninguno","","",""
"2024-05-25T09:50:49Z","90032258-4625-4ec8-b586-b3c96144ae00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","85bce3b8-4e29-4e4e-ad13-21c0132e722a","44450da8-5f10-4b60-8dd1-448313469fe2","Joni Sherman","jonis@2nvpmn.onmicrosoft.com","member","none","none","none","WCIDkCVGyE61hrPJYUSuAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","52.172.156.250","Pune, Maharashtra, IN","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","jonis@2nvpmn.onmicrosoft.com","","false","","8075","false","Microsoft Entra ID","Ninguno","","153","No aplicada","Ninguno","","",""
"2024-05-25T09:50:48Z","2df69391-0cc3-4282-9149-464f22a69000","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0","4bceb71f-01f3-4ee2-83a3-cfebbdae5adc","8c882237-3bf9-4ba8-9a55-619b30033b69","Isaiah Langer","isaiahl@2nvpmn.onmicrosoft.com","member","none","none","none","kZP2LcMMgkKRSUZPIqaQAA","none","none","unbound","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","6a209b9b-6dd4-4fdc-8e7f-f9c6cd892488","","52.172.156.250","Pune, Maharashtra, IN","Error","50126","Error validating credentials due to invalid username or password.","Explorador","","Firefox 105.0","Windows10","false","false","","The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.","","","Autenticación de factor único","isaiahl@2nvpmn.onmicrosoft.com","","false","","8075","false","Microsoft Entra ID","Ninguno","","153","No aplicada","Ninguno","","",""
